custid,dropperc,KPI_DeviceSat,mins,consecmonths,long,dataperc,KPI_NetworkQual,income,age,bill,datause,calls,education,servcalls,kids,churn_Y,prob
844336,0.0163636363636364,0.0160345039664219,550,28,35,0.158935546875,0.7603546409999999,89.2,45,71.44,651,55,11,0,2,0,0.4554169085975134
146041,0.018348623853211003,0.0170551148054854,545,33,35,0.3779296875,0.526147204,54.2,43,124.23,774,66,9,0,1,0,0.4190886993514833
847745,0.0185185185185185,0.00889616180366376,378,41,19,0.2822265625,0.798810583,55.3,41,112.42,578,91,12,0,1,0,0.4177347002818152
285565,0.0144927536231884,0.0164598085384115,552,32,38,0.271240234375,0.631074633,66.8,31,105.12,1111,71,10,0,0,0,0.4465706383756095
754611,0.0121317157712305,0.0207106576742021,577,4,31,0.19873046875,0.72642769,87.2,43,109.48,407,56,8,0,0,0,0.2545159439754013
100018,0.0244360902255639,0.0110610845340877,532,26,30,0.0769856770833333,0.7603546409999999,57.6,37,126.5,473,76,8,0,1,0,0.4814319570875469
195381,0.0139664804469274,0.0141284022811508,716,18,39,0.1298828125,0.586984301,78.2,48,105.88,798,60,6,0,1,0,0.3889285197572852
665504,0.0139720558882236,0.0173072488274286,501,22,33,0.351318359375,0.7464753270000001,79.2,57,119.27,1439,64,11,0,2,0,0.38635674283663235
529231,0.0238095238095238,0.0171973594318547,462,13,27,0.12841796875,0.480935685,102.3,49,88.18,789,51,8,0,2,0,0.41571197915556024
358025,0.022883295194508,0.0164883365616948,437,42,26,0.0,0.637437199,81.6,59,73.33,0,49,9,0,1,0,0.45529930902963617
441653,0.04,0.017006771227395003,275,15,14,0.63623046875,0.49377522799999995,96.7,45,115.82,1303,32,9,0,0,0,0.43131707030500316
430610,0.0209302325581395,0.0283791932398839,430,23,22,0.397705078125,0.588356,23.2,37,100.14,1629,55,10,0,2,0,0.4084090312024107
273314,0.0277227722772277,0.0104622892672466,505,32,29,0.3837890625,0.5244084920000001,74.6,58,85.45,786,76,10,0,0,0,0.46877446766392605
57668,0.0127478753541076,0.010627870782518001,706,33,37,0.25944010416666696,0.47733741799999996,119.9,45,72.17,1594,88,9,0,3,0,0.2787894033404686
717684,0.0142348754448399,0.0176395305614047,562,28,30,0.42041015625,0.676293785,62.5,46,73.07,861,53,10,0,1,0,0.4352665494678804
637210,0.025,0.0159813952103922,280,22,17,0.08935546875,0.798810583,107.3,49,83.2,549,44,6,0,0,0,0.4267495521481506
351148,0.0111731843575419,0.0104255198590464,716,24,37,0.70947265625,0.691894965,56.5,51,76.57,1453,18,11,0,2,0,0.26511985148356826
959615,0.0161943319838057,0.0207401334772132,494,31,28,0.243815104166667,0.662148594,56.9,43,136.91,1498,74,7,0,2,0,0.4507743956977813
747647,0.0177165354330709,0.0180597004687501,508,20,28,0.0592447916666667,0.713182599,39.0,65,99.5,364,49,7,0,2,0,0.3849689341333416
927542,0.0241758241758242,0.0121229647534408,455,31,26,0.0579427083333333,0.5766812729999999,88.3,41,179.24,356,75,10,0,0,0,0.47048564313704927
18523,0.0192878338278932,0.009887117991977707,674,24,34,0.207763671875,0.7988804740000001,51.3,26,104.8,851,49,7,0,1,0,0.46202641400673045
127001,0.0323974082073434,0.0166218212001711,463,24,25,0.149088541666667,0.676293785,90.0,44,124.58,916,94,10,0,1,1,0.502359983138508
384131,0.0183946488294314,0.0127460603044644,598,15,39,0.24267578125,0.6952925190000001,88.6,42,118.75,994,140,10,0,2,0,0.4005932374685755
98467,0.027027027027027,0.0182306743414251,444,13,27,0.333984375,0.592689247,59.3,47,111.77,684,60,8,0,1,0,0.4108057927805633
185604,0.0127118644067797,0.0173923511294928,472,22,24,0.0,0.316290503,29.2,45,81.92,0,65,10,0,2,0,0.21893247078613334
243163,0.0134003350083752,0.0152495995861393,597,32,30,0.107421875,0.7603546409999999,76.7,52,105.79,440,58,9,0,1,0,0.29153051474218805
144652,0.015358361774744,0.0212004516180784,586,17,30,0.41015625,0.37397117799999996,74.8,47,117.06,840,83,10,0,0,0,0.37948244937341036
941654,0.0264765784114053,0.0115079229226514,491,37,28,0.51123046875,0.494816793,24.6,33,108.66,1047,79,10,0,2,0,0.4596255097087942
288493,0.0208768267223382,0.00966244373518907,479,21,25,0.040283203125,0.785960397,62.8,39,100.21,165,71,5,0,2,0,0.40951304596562155
860457,0.0224525043177893,0.0228034371581426,579,21,30,0.0,0.798810583,84.8,39,199.9,0,69,13,0,1,0,0.4456525084868154
127386,0.0165441176470588,0.0109327690294595,544,19,28,0.005126953125,0.701120968,55.6,57,111.78,21,24,13,0,1,0,0.38891806309497984
937795,0.0416666666666667,0.0214952679063629,288,23,16,0.41455078125,0.49377522799999995,61.2,64,71.44,849,84,12,0,2,0,0.4260920204478345
831993,0.0192644483362522,0.0248741896443985,571,32,29,0.0,0.504101766,53.3,56,98.79,0,26,7,0,1,0,0.4607856070026249
435945,0.0263852242744063,0.0188606844307491,379,29,19,0.165852864583333,0.465253994,98.8,34,96.02,1019,89,12,0,2,0,0.4793291718765597
449853,0.0177304964539007,0.0171297684027421,564,24,32,0.08154296875,0.6762420640000001,81.2,53,72.78,501,56,10,0,0,0,0.4548650638702649
184369,0.0125,0.0193939175548491,480,41,29,0.159423828125,0.716983294,46.8,38,104.67,653,106,7,0,4,0,0.29252455212117207
601428,0.0119760479041916,0.011598841752036002,668,20,37,0.43017578125,0.376320628,74.7,33,118.42,881,26,7,0,2,0,0.22049651996079667
518246,0.025,0.0116655677748666,440,26,52,0.1162109375,0.662148594,88.3,33,62.49,238,89,11,0,1,0,0.47920560504740956
698042,0.0157819225251076,0.00715434564871308,697,32,43,0.1552734375,0.526147204,61.1,45,68.2,318,43,12,0,2,0,0.42804300247446714
99579,0.0238095238095238,0.018215539924268997,504,38,26,0.195963541666667,0.5847465070000001,77.8,34,149.49,1204,72,10,0,1,1,0.4982021230302399
702464,0.0223048327137546,0.0119101339502722,538,32,30,0.62841796875,0.713182599,86.4,40,151.25,1287,53,9,0,3,0,0.46255958990149365
873682,0.0319148936170213,0.0174191353836802,282,20,14,0.5087890625,0.67244134,90.5,39,152.39,1042,48,12,0,1,0,0.41889112490486263
379826,0.0159651669085631,0.0192228709056608,689,29,37,0.74072265625,0.596008496,90.5,46,111.27,1517,65,8,0,2,0,0.44341241063118286
735337,0.0321361058601134,0.0200522695398893,529,44,26,0.5859375,0.419794699,69.7,45,85.41,1200,73,9,0,1,0,0.49569312026665285
931548,0.0142566191446029,0.0276391556633162,491,32,25,0.07177734375,0.6762420640000001,36.3,32,138.55,441,53,9,0,0,0,0.4693213650694179
54918,0.0174757281553398,0.0177541009103878,515,17,48,0.170735677083333,0.563376754,61.5,48,122.33,1049,60,7,0,2,0,0.39684552902551196
655089,0.0118811881188119,0.0198153416156108,505,28,28,0.486328125,0.72866274,72.6,37,96.65,996,49,11,0,0,0,0.29205475221637456
450972,0.011686143572621,0.00932025585008732,599,24,37,0.302001953125,0.180675803,80.8,36,123.98,1237,79,8,0,5,0,0.25937599506251313
433315,0.0128440366972477,0.0130731352372554,545,22,28,0.50048828125,0.49377522799999995,96.0,41,83.16,1025,67,11,0,3,0,0.2282791501017206
