custid,dropperc,KPI_DeviceSat,mins,consecmonths,income,KPI_NetworkQual,dataperc,long,age,datause,bill,calls,education,servcalls,dataplan,kids,churn_Y
844336,0.0163636363636364,0.0160345039664219,550,28,89.2,0.7603546409999999,0.158935546875,35,45,651,71.44,55,11,0,4096,2,0
146041,0.018348623853211003,0.0170551148054854,545,33,54.2,0.526147204,0.3779296875,35,43,774,124.23,66,9,0,2048,1,0
847745,0.0185185185185185,0.00889616180366376,378,41,55.3,0.798810583,0.2822265625,19,41,578,112.42,91,12,0,2048,1,0
285565,0.0144927536231884,0.0164598085384115,552,32,66.8,0.631074633,0.271240234375,38,31,1111,105.12,71,10,0,4096,0,0
754611,0.0121317157712305,0.0207106576742021,577,4,87.2,0.72642769,0.19873046875,31,43,407,109.48,56,8,0,2048,0,0
100018,0.0244360902255639,0.0110610845340877,532,26,57.6,0.7603546409999999,0.0769856770833333,30,37,473,126.5,76,8,0,6144,1,0
195381,0.0139664804469274,0.0141284022811508,716,18,78.2,0.586984301,0.1298828125,39,48,798,105.88,60,6,0,6144,1,0
665504,0.0139720558882236,0.0173072488274286,501,22,79.2,0.7464753270000001,0.351318359375,33,57,1439,119.27,64,11,0,4096,2,0
529231,0.0238095238095238,0.0171973594318547,462,13,102.3,0.480935685,0.12841796875,27,49,789,88.18,51,8,0,6144,2,0
358025,0.022883295194508,0.0164883365616948,437,42,81.6,0.637437199,0.0,26,59,0,73.33,49,9,0,6144,1,0
441653,0.04,0.017006771227395003,275,15,96.7,0.493775228,0.63623046875,14,45,1303,115.82,32,9,0,2048,0,0
430610,0.0209302325581395,0.0283791932398839,430,23,23.2,0.588356,0.397705078125,22,37,1629,100.14,55,10,0,4096,2,0
273314,0.0277227722772277,0.0104622892672466,505,32,74.6,0.5244084920000001,0.3837890625,29,58,786,85.45,76,10,0,2048,0,0
57668,0.0127478753541076,0.010627870782518,706,33,119.9,0.477337418,0.25944010416666696,37,45,1594,72.17,88,9,0,6144,3,0
717684,0.0142348754448399,0.0176395305614047,562,28,62.5,0.676293785,0.42041015625,30,46,861,73.07,53,10,0,2048,1,0
637210,0.025,0.0159813952103922,280,22,107.3,0.798810583,0.08935546875,17,49,549,83.2,44,6,0,6144,0,0
351148,0.0111731843575419,0.0104255198590464,716,24,56.5,0.691894965,0.70947265625,37,51,1453,76.57,18,11,0,2048,2,0
959615,0.0161943319838057,0.0207401334772132,494,31,56.9,0.662148594,0.243815104166667,28,43,1498,136.91,74,7,0,6144,2,0
747647,0.0177165354330709,0.0180597004687501,508,20,39.0,0.713182599,0.0592447916666667,28,65,364,99.5,49,7,0,6144,2,0
927542,0.0241758241758242,0.0121229647534408,455,31,88.3,0.5766812729999999,0.0579427083333333,26,41,356,179.24,75,10,0,6144,0,0
18523,0.0192878338278932,0.009887117991977707,674,24,51.3,0.7988804740000001,0.207763671875,34,26,851,104.8,49,7,0,4096,1,0
127001,0.0323974082073434,0.0166218212001711,463,24,90.0,0.676293785,0.149088541666667,25,44,916,124.58,94,10,0,6144,1,1
384131,0.0183946488294314,0.0127460603044644,598,15,88.6,0.6952925190000001,0.24267578125,39,42,994,118.75,140,10,0,4096,2,0
98467,0.027027027027027,0.0182306743414251,444,13,59.3,0.592689247,0.333984375,27,47,684,111.77,60,8,0,2048,1,0
185604,0.0127118644067797,0.0173923511294928,472,22,29.2,0.316290503,0.0,24,45,0,81.92,65,10,0,2048,2,0
243163,0.0134003350083752,0.0152495995861393,597,32,76.7,0.7603546409999999,0.107421875,30,52,440,105.79,58,9,0,4096,1,0
144652,0.015358361774744,0.0212004516180784,586,17,74.8,0.373971178,0.41015625,30,47,840,117.06,83,10,0,2048,0,0
941654,0.0264765784114053,0.0115079229226514,491,37,24.6,0.494816793,0.51123046875,28,33,1047,108.66,79,10,0,2048,2,0
288493,0.0208768267223382,0.00966244373518907,479,21,62.8,0.785960397,0.040283203125,25,39,165,100.21,71,5,0,4096,2,0
860457,0.0224525043177893,0.0228034371581426,579,21,84.8,0.798810583,0.0,30,39,0,199.9,69,13,0,4096,1,0
127386,0.0165441176470588,0.0109327690294595,544,19,55.6,0.701120968,0.005126953125,28,57,21,111.78,24,13,0,4096,1,0
937795,0.0416666666666667,0.0214952679063629,288,23,61.2,0.493775228,0.41455078125,16,64,849,71.44,84,12,0,2048,2,0
831993,0.0192644483362522,0.0248741896443985,571,32,53.3,0.504101766,0.0,29,56,0,98.79,26,7,0,6144,1,0
435945,0.0263852242744063,0.0188606844307491,379,29,98.8,0.465253994,0.165852864583333,19,34,1019,96.02,89,12,0,6144,2,0
449853,0.0177304964539007,0.0171297684027421,564,24,81.2,0.6762420640000001,0.08154296875,32,53,501,72.78,56,10,0,6144,0,0
184369,0.0125,0.0193939175548491,480,41,46.8,0.716983294,0.159423828125,29,38,653,104.67,106,7,0,4096,4,0
601428,0.0119760479041916,0.011598841752036002,668,20,74.7,0.376320628,0.43017578125,37,33,881,118.42,26,7,0,2048,2,0
518246,0.025,0.0116655677748666,440,26,88.3,0.662148594,0.1162109375,52,33,238,62.49,89,11,0,2048,1,0
698042,0.0157819225251076,0.00715434564871308,697,32,61.1,0.526147204,0.1552734375,43,45,318,68.2,43,12,0,2048,2,0
99579,0.0238095238095238,0.018215539924269,504,38,77.8,0.5847465070000001,0.195963541666667,26,34,1204,149.49,72,10,0,6144,1,1
702464,0.0223048327137546,0.0119101339502722,538,32,86.4,0.713182599,0.62841796875,30,40,1287,151.25,53,9,0,2048,3,0
873682,0.0319148936170213,0.0174191353836802,282,20,90.5,0.67244134,0.5087890625,14,39,1042,152.39,48,12,0,2048,1,0
379826,0.0159651669085631,0.0192228709056608,689,29,90.5,0.596008496,0.74072265625,37,46,1517,111.27,65,8,0,2048,2,0
735337,0.0321361058601134,0.0200522695398893,529,44,69.7,0.419794699,0.5859375,26,45,1200,85.41,73,9,0,2048,1,0
931548,0.0142566191446029,0.0276391556633162,491,32,36.3,0.6762420640000001,0.07177734375,25,32,441,138.55,53,9,0,6144,0,0
54918,0.0174757281553398,0.0177541009103878,515,17,61.5,0.563376754,0.170735677083333,48,48,1049,122.33,60,7,0,6144,2,0
655089,0.0118811881188119,0.0198153416156108,505,28,72.6,0.72866274,0.486328125,28,37,996,96.65,49,11,0,2048,0,0
450972,0.011686143572621,0.00932025585008732,599,24,80.8,0.180675803,0.302001953125,37,36,1237,123.98,79,8,0,4096,5,0
433315,0.0128440366972477,0.0130731352372554,545,22,96.0,0.493775228,0.50048828125,28,41,1025,83.16,67,11,0,2048,3,0
854319,0.0183066361556064,0.0216369744735049,437,21,78.8,0.6453962520000001,0.24169921875,23,38,990,84.59,90,11,0,4096,0,0
444703,0.036036036036036015,0.0209916703083228,333,22,73.2,0.83990507,0.32958984375,21,47,2025,132.15,47,9,0,6144,1,0
256550,0.0136752136752137,0.0216645009697815,585,39,77.4,0.590359394,0.4267578125,30,36,874,160.59,105,9,0,2048,2,0
200606,0.0263157894736842,0.0154654153070133,342,31,64.0,0.518515331,0.040283203125,22,56,165,129.74,77,13,0,4096,2,0
792794,0.0323624595469256,0.0232721303863431,309,42,94.2,0.504723331,0.0953776041666667,15,54,586,106.57,64,11,0,6144,2,1
134503,0.0172661870503597,0.0072391728399379,695,18,47.5,0.7603546409999999,0.458984375,35,38,940,105.92,68,9,0,2048,1,0
490233,0.014827018121911,0.0246958191413872,607,27,98.2,0.206129064,0.56494140625,31,44,1157,53.65,91,8,0,2048,1,0
444448,0.0125448028673835,0.0257763169127366,558,31,65.4,0.570390095,0.791015625,31,45,1620,107.32,81,12,0,2048,1,0
774125,0.0196463654223969,0.0132523640050618,509,35,12.4,0.373971178,0.26611328125,27,36,545,118.86,99,8,0,2048,1,0
272365,0.0217391304347826,0.0168044456533144,414,33,80.4,0.739349272,0.0224609375,22,32,138,118.49,77,7,0,6144,1,0
444826,0.0276595744680851,0.0212706460871373,470,34,87.6,0.494816793,0.110026041666667,27,48,676,46.52,63,9,0,6144,0,1
115329,0.0151260504201681,0.0214772109861313,595,30,73.3,0.480705402,0.0257161458333333,37,28,158,147.61,67,11,0,6144,1,0
148486,0.0221130221130221,0.0223114578270746,407,35,56.9,0.82300172,0.0509440104166667,21,22,313,138.14,67,6,0,6144,0,0
675026,0.0275,0.0171013604358651,400,27,47.0,0.771366181,0.2919921875,21,47,598,133.74,75,12,0,2048,1,0
277582,0.0243445692883895,0.0132744386875459,534,44,56.1,0.7603546409999999,0.326904296875,27,40,1339,113.44,70,10,0,4096,0,0
120514,0.0113636363636364,0.0257312878642035,528,22,59.5,0.83990507,0.129231770833333,27,48,794,82.32,22,10,0,6144,2,0
